2417	186	3	9.57
1151	502	4	18.48
452	5826	4	32.92
414	1552	3	13.18
10168	3223	3	41.78
823	1513	5	33.19
940	14	35	8.97
527	516	3	8.85
547	4433	3	20.96
1333	208	5	17.78
7041	135	5	35.63
433	500	3	7.5
1104	502	3	11.85
281	959	3	8.2
5979	106	5	13.08
7694	151	4	30.14
908	808	4	24.11
601	516	3	9.62
371	217	6	14.91
539	164	5	7.13
932	1	4	15.05
101	5681	6	7.99
5682	218	3	17.53
112	4598	5	13.96
1567	250	3	9.86
1485	366	3	12.82
150	6408	6	48.82
251	466	21	115.97
1550	3640	3	24.95
116	405	16	18.2
101	5629	6	7.99
9000	133	4	27.66
1767	234	6	29.78
298	3271	3	17.36
307	659	3	7.13
338	2163	3	13.62
314	6031	3	20.23
14	610	48	6.78
1057	594	3	12.22
269	1196	3	8.71
325	2261	3	14.49
300	131	14	21.74
2061	803	4	26.13
4178	2755	9	128.18
3737	1187	5	46.71
187	1587	3	7.74
8228	111	3	9.86
1598	4561	3	26.58
192	201	8	7.26
7066	118	3	10.33
1614	114	6	8.1
1057	443	3	10.8
13547	103	3	7.13
304	2833	3	14.7
1552	450	5	28.54
823	240	3	7.11
250	605	4	8.92
873	429	3	9.94
328	2110	3	13.03
9592	133	4	27.66
468	626	3	9.32
767	290	3	7.62
358	263	5	9.51
9556	103	4	9.51
238	2994	3	13.38
520	371	6	20.89
911	2778	3	20.04
981	380	3	10.06
1986	404	3	13.97
543	348	3	6.92
12087	2752	3	40.62
4460	225	3	15.49
1108	242	3	7.61
104	3198	7	7.59
5483	352	3	19.58
224	7602	3	19.13
1199	469	3	12.09
101	1660	17	7.96
240	3222	4	22.48
117	1459	19	80.54
202	1331	3	7.49
212	1462	3	9.13
477	314	4	9.73
576	107	13	14.72
255	214	7	10.89
4458	3075	5	61.33
2425	107	5	11.87
320	554	4	10.97
9391	404	3	25.5
255	139	14	20.95
744	2671	3	19.09
2922	189	3	11.55
560	946	3	12.09
6234	101	6	7.99
2	12789	3	10.19
887	1498	3	17.46
191	1329	5	16.43
1089	300	3	9.31
279	1347	3	9.37
126	228	13	8.88
755	602	5	24.53
214	1028	3	7.11
182	5240	3	14.61
120	3632	3	6.88
3469	260	3	15.13
337	329	4	8.23
250	4576	3	16.19
3702	465	3	18.81
1498	798	4	23.89
1961	214	3	10.08
524	172	5	8.36
188	533	6	12.46
207	3463	4	20.63
1576	124	5	9.68
3581	117	4	9.24
111	548	12	7.49
1556	126	5	10.44
163	4749	3	12.68
715	591	3	10.59
2196	7574	5	66.13
1571	257	3	9.82
3029	1354	12	150.78
1415	280	3	10.02
314	1410	24	234.36
918	273	3	7.55
202	1374	3	7.49
1878	302	3	11.88
1482	1229	6	48.28
255	572	5	13.34
154	139	15	9.57
291	492	4	8.96
1127	128	5	8.43
597	3436	3	20.95
104	5509	6	11.77
230	1563	3	9.09
103	746	23	10.67
1137	503	3	11.65
2028	556	3	15.91
144	485	6	6.75
392	664	3	8.12
11579	104	3	8.48
10624	1211	3	36.32
430	996	3	10.8
210	4213	3	14.22
337	449	5	14.52
142	2027	3	7.05
324	2037	3	13.35
498	232	4	6.9
6774	104	4	6.86
534	207	5	10.35
124	7894	3	14.67
1474	216	3	8.42
2362	145	3	7.32
3001	214	3	12.64
7305	141	3	15.1
10926	10101	3	54.67
2270	162	3	8.07
103	11108	3	7.13
3998	128	5	20.91
624	183	5	10.44
8	4089	4	8.54
883	150	8	29.47
112	2378	5	6.78
2565	133	3	7.33
2313	168	5	20.97
7135	102	5	8.28
621	857	3	11.71
101	3404	9	11.98
14	864	34	8.72
106	5474	5	10.46
211	14	131	11.99
816	102	24	6.72
5333	133	4	18.29
116	151	27	7.26
1419	376	3	11.88
806	450	4	15.67
16	12944	3	16.03
604	1397	3	14.46
144	4848	3	12.07
103	2599	10	9.93
2313	303	3	14.01
169	1671	4	11.31
130	5228	3	11.01
12	1364	3	12.75
483	434	3	7.07
531	665	5	21.1
607	360	3	7.36
14	1000	32	8.2
1038	468	5	23.98
3030	12840	3	41.17
6397	106	4	7.57
112	8647	4	19.17
420	170	7	12.8
370	812	5	20.68
783	2322	3	18.92
7060	217	3	21.15
105	1502	11	8.26
313	1556	3	11.11
153	2355	4	13.32
2486	743	4	27.5
11088	277	3	27.31
414	450	3	6.99
2618	431	3	16.62
981	330	3	9.15
304	2936	4	22.29
102	6042	6	9.94
257	1666	3	10.1
148	3596	3	9.93
386	371	4	8.86
945	236	3	6.88
1845	285	3	11.23
250	1065	3	7.79
812	8257	4	45.24
110	674	10	7.13
220	317	6	10.11
6723	218	3	19.09
