143	8707	9
35763	684	8
105	5862	20
2351	211	17
148	8396	34
454	6063	22
7423	5971	4
436	494	4
26292	6243	13
7557	396	24
102	3341	28
23550	715	8
359	561	2
20395	3550	19
1238	7011	3
2	3169	5
877	7145	14
101	9607	6
7856	5419	15
120	8373	10
718	3662	19
648	7855	9
105	5287	2
1679	5820	13
13565	6151	34
22453	37	0
218	4395	4
14	9737	16
129	1352	0
1473	999	11
3136	2074	9
19925	6074	25
6447	8899	10
57282	1530	7
134	668	23
101	6084	23
14	1854	36
3019	5454	9
101	9002	14
177	6842	19
159	212	21
48099	5718	31
2444	2650	35
9251	6786	5
414	3259	23
826	6609	25
11973	2523	31
9435	6505	4
7	855	9
3886	8125	15
105	1545	22
102	4328	5
12368	298	24
369	2999	21
299	2768	21
46965	9163	25
2	9159	13
5210	1194	15
3517	180	21
14702	3328	5
9	8010	31
13937	139	28
4888	334	10
1150	1843	23
1129	7751	27
44782	452	20
1643	3339	21
8	298	32
18257	9440	7
567	2451	4
2753	3379	5
9177	3716	6
125	8990	19
5203	6582	7
16775	1468	0
1406	7348	13
43947	5862	9
964	1762	19
19719	1824	4
114	4559	6
2013	3408	8
363	4431	3
7206	3997	25
137	6257	7
5243	8783	3
320	6405	37
578	1769	20
464	239	16
126	1024	2
19277	2421	6
6320	705	10
1253	6355	27
276	2039	1
102	9272	37
1187	1448	24
845	9343	28
57759	9742	12
1187	8717	9
765	7337	4
9187	6466	33
526	301	26
14652	9239	22
13351	7130	5
2	2040	47
956	5655	4
14	9289	18
774	7543	33
252	7666	37
579	7045	8
901	9642	32
24694	4679	6
14	9022	43
42082	2068	2
14	9456	41
7857	18	9
16856	4223	5
42678	282	17
103	5801	26
23215	6743	25
17766	7853	26
11816	2371	3
326	9603	7
10514	5307	19
14	6127	31
104	9857	1
101	7396	6
136	8282	5
27572	3064	2
30704	5550	19
113	5859	20
337	6436	9
878	5589	27
30008	1581	9
9556	2136	21
54716	7737	23
1299	7805	11
795	7701	10
1690	2129	9
2109	1155	25
53346	3867	20
2990	1875	0
8046	1682	7
1094	5844	7
971	3066	0
1333	5763	10
101	6124	5
222	5167	27
2109	7562	30
416	1127	10
102	2795	12
1206	8119	28
7426	2119	14
