1007	5196	24
261	9135	0
1497	4949	18
103	6952	2
123	3792	3
24893	1160	2
19779	5619	14
3447	264	12
454	9150	12
137	2139	28
4420	2896	21
111	6871	11
4986	9012	0
1742	6596	17
8208	4953	10
107	6014	9
2930	1739	0
14	1703	26
6436	6217	8
402	8542	15
101	8051	32
3718	9933	14
106	345	17
45	7765	0
9958	3264	10
123	8689	9
280	8825	18
111	3797	3
113	7510	7
23121	4702	6
2458	4165	7
124	5629	0
2350	134	0
244	124	20
106	7803	8
12627	8243	18
14840	3696	14
246	2386	29
117	7303	6
10205	5497	1
3973	6116	10
9544	7357	25
2290	7443	18
113	913	2
118	5935	6
1601	2012	12
683	1990	9
109	16	7
127	261	1
3492	6970	5
120	3247	27
3301	2059	20
704	9939	9
10791	9742	1
118	4646	4
14	179	41
6443	7986	13
1660	4878	5
4153	2798	9
101	5676	30
11070	3461	38
364	5557	9
1465	137	11
1139	6728	11
124	5946	0
444	2383	26
1742	4706	22
101	6089	2
116	6634	2
14	9157	11
892	4014	17
105	9062	18
105	4066	6
10052	88	10
57	7266	26
112	215	24
106	635	13
24734	4204	4
105	1472	18
282	572	0
14676	3979	16
116	9697	15
1198	7418	0
1903	4745	5
2839	7996	13
146	6511	5
14	9649	35
104	2799	25
1056	3289	10
425	2787	6
14	4229	11
495	8233	11
115	8260	7
14	4448	23
110	1969	13
14	9749	41
164	5033	15
2066	9170	7
102	1614	4
1093	7011	5
102	2721	3
548	3323	3
227	8927	29
16761	9382	16
834	277	17
101	6819	2
300	5250	27
783	9786	29
1541	3483	21
143	3272	12
14	9614	14
31375	6350	13
106	3828	17
365	4754	21
765	6764	2
12	1271	32
129	9423	7
6580	2923	17
159	5757	7
107	9201	31
101	3909	2
14	2734	16
103	4044	7
5039	7683	16
165	876	17
955	5537	7
2623	283	34
115	7626	13
107	6802	31
131	7402	2
3490	7387	18
24282	2378	31
2356	2067	0
102	9005	1
3428	1189	18
12349	3898	3
23625	2337	10
12	8619	8
744	4568	15
14	975	23
12	8270	20
112	2967	18
1616	1062	7
117	5796	6
236	9038	1
102	1836	26
5401	6726	20
118	971	3
5727	8600	12
14	3059	35
121	5539	21
12	9194	30
12	897	13
3533	6591	8
14	107	29
545	5279	9
2593	8348	38
109	5364	2
127	7872	1
225	2204	0
196	7724	9
118	5966	9
473	3549	11
106	8531	13
45	855	0
14	5962	29
925	4843	40
39	8050	10
1818	3522	27
872	7421	9
14	8255	35
339	7250	38
397	7540	5
172	9816	0
12	520	11
3859	8184	18
18766	4659	4
121	3938	2
109	1590	12
11878	2238	18
171	8030	18
101	3880	12
2272	697	16
14264	2584	6
103	9116	38
317	4230	5
355	7911	10
2445	6829	16
30034	4150	13
103	3077	3
11400	3677	10
803	6448	17
128	137	14
10845	3110	23
12	3395	6
10156	3624	2
128	2984	11
717	7882	4
678	8509	14
131	6984	26
1457	7023	33
101	6862	12
1553	6938	8
111	2291	8
603	433	18
16838	6052	20
507	150	26
473	6231	17
129	5571	4
633	9336	5
153	2773	0
230	4762	8
103	3778	3
641	1733	4
30788	6094	1
123	6970	2
135	3729	0
109	7772	1
107	6002	8
101	256	11
4838	2127	0
29587	6662	20
166	7808	0
118	133	5
22866	9432	6
106	5614	35
2323	4478	2
5468	1241	8
221	9421	2
103	108	18
39	60	9
128	1572	6
12	6754	6
7466	5595	21
261	9123	1
2604	8486	6
132	6158	0
12	1764	21
11815	1927	19
9288	8729	0
170	4457	0
2254	5625	22
760	2550	8
101	4905	29
6805	3791	15
628	1153	18
2958	4997	11
2362	9956	4
12	5325	3
1450	9189	1
1984	8339	24
121	6567	10
1434	7620	6
3099	1862	14
110	3353	14
12070	3552	18
434	8824	13
12	9423	4
101	3566	24
539	8105	5
14086	6809	15
1813	5664	27
31002	78	12
104	3240	29
1297	7125	3
112	3250	8
145	9199	29
106	4989	18
12603	2078	17
115	8033	23
45	4370	12
105	9196	5
193	9059	7
2377	8733	28
12	1765	1
1412	1654	1
24896	7795	6
27579	5493	9
250	4872	12
105	165	10
12	4704	11
12	1058	1
3247	7437	23
3363	16	1
15227	4762	14
1174	5738	21
101	2306	6
107	6334	7
539	6058	28
12	72	9
101	8533	33
322	460	6
12	3239	14
12	1635	23
